October 2022: Table 1
;Drink Bally House;US$2,50 ;$95 000.00;US$2,50 ;$33 250.00;US$2,20 ;$14 421.00;US$2,50 ;$14 487.50;US$2,00 ;$6 840.00;US$2,00 ;US$2 090.00;;
;Drink Cheapest;US$2,50 ;$95 000.00;US$2,50 ;$33 250.00;US$2,00 ;$13 110.00;US$2,00 ;$11 590.00;US$1,20 ;$4 104.00;US$1,00 ;US$1 045.00;;
;Drink Mazoe Original 2l;US$3,50 ;$133 000.00;US$3,00 ;$39 900.00;US$2,50 ;$16 387.50;US$3,00 ;$17 385.00;US$2,50 ;$8 550.00;US$2,50 ;US$2 612.50;;
;Drink Mazoe Orange Crush 2l;US$3,50 ;$133 000.00;US$3,50 ;$46 550.00;US$2,50 ;$16 387.50;US$2,50 ;$14 487.50;US$2,00 ;$6 840.00;US$2,50 ;US$2 612.50;;
;Eggs 30;US$3,80 ;$144 400.00;US$4,20 ;$55 860.00;US$3,60 ;$23 598.00;US$3,70 ;$21 441.50;US$3,80 ;$12 996.00;US$3,60 ;US$3 762.00;;
;Eggs 6;US$1,00 ;$38 000.00;US$1,00 ;$13 300.00;US$1,00 ;$6 555.00;US$1,00 ;$5 795.00;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Flour 2kg;US$2,00 ;$76 000.00;US$2,00 ;$26 600.00;US$2,00 ;$13 110.00;US$2,00 ;$11 590.00;US$1,60 ;$5 472.00;US$1,80 ;US$1 881.00;;
;Green bar;US$1,00 ;$38 000.00;US$1,10 ;$14 630.00;US$1,00 ;$6 555.00;US$1,00 ;$5 795.00;US$1,50 ;$5 130.00;US$1,50 ;US$1 567.50;;
;Jam 375ml;US$1,00 ;$38 000.00;US$1,00 ;$13 300.00;US$1,00 ;$6 555.00;US$1,00 ;$5 795.00;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Kapenta 1KG;US$8,00 ;$304 000.00;US$8,00 ;$106 400.00;US$5,00 ;$32 775.00;US$5,00 ;$28 975.00;US$5,00 ;$17 100.00;US$5,00 ;US$5 225.00;;
;Kapenta 500g;US$4,00 ;$152 000.00;US$4,00 ;$53 200.00;US$3,00 ;$19 665.00;US$3,00 ;$17 385.00;US$3,00 ;$10 260.00;US$3,00 ;US$3 135.00;;
;Lotion/Cream Camphor 300ml;US$2,00 ;$76 000.00;US$2,00 ;$26 600.00;US$1,80 ;$11 799.00;US$2,00 ;$11 590.00;US$2,00 ;$6 840.00;US$2,00 ;US$2 090.00;;
;Macaroni 3kg;US$4,00 ;$152 000.00;US$4,00 ;$53 200.00;US$3,80 ;$24 909.00;US$4,00 ;$23 180.00;US$3,80 ;$12 996.00;US$3,00 ;US$3 135.00;;
